 n  |      p=2        |              p=4            |              p = 8          |
----------------------------------------------------------------------------------|
    | comm=0 | comm=1 |  comm=0 |     comm = 1      |  comm=0 |     comm = 1      |
----------------------------------------------------------------------------------|
    |        |        |         |   D=1   |   D=H   |         |   D=1   |   D=H   |  
100 |  1332  |  1502  |  1313   |  1394   |  1407   |  1313   |  1401   |  1406   |
100 |  1853  |  2076  |  1820   |  1875   |  2071   |  1820   |  1941   |  1896   |
100 |  1085  |  1140  |  1054   |  1105   |  1112   |  1054   |  1105   |  1112   |
100 |  1170  |  1250  |  1118   |  1140   |  1211   |  1118   |  1140   |  1211   |
100 |   648  |   797  |   630   |   728   |   794   |   630   |   722   |   732   |
100 |   888  |  1001  |   856   |   931   |  1012   |   856   |   931   |   929   |
100 |  1359  |  1433  |  1197   |  1294   |  1339   |  1197   |  1319   |  1346   |
100 |  1963  |  2090  |  1887   |  1946   |  1949   |  1887   |  1959   |  1986   |
100 |  1304  |  1359  |  1277   |  1286   |  1300   |  1277   |  1302   |  1301   |
100 |  1565  |  1569  |  1429   |  1466   |  1530   |  1429   |  1474   |  1530   |
100 |   846  |   872  |   749   |   843   |   845   |   749   |   843   |   853   |
100 |   966  |  1019  |   813   |   914   |   935   |   813   |   939   |   930   |
100 |  1711  |  1750  |  1565   |  1680   |  1702   |  1565   |  1683   |  1702   |
100 |  2840  |  2872  |  2699   |  2836   |  2836   |  2699   |  2836   |  2836   |
100 |  1708  |  1734  |  1688   |  1720   |  1720   |  1688   |  1720   |  1720   |
100 |  1993  |  2024  |  1966   |  2012   |  2012   |  1966   |  2012   |  2012   |
100 |  1071  |  1097  |   949   |  1055   |  1055   |   949   |  1055   |  1055   |
100 |  1259  |  1259  |  1071   |  1210   |  1210   |  1071   |  1210   |  1210   |
----------------------------------------------------------------------------------|
----------------------------------------------------------------------------------|
200 |  1856  |  1856  |  1083   |  1071   |  1145   |  1062   |  1119   |  1097   |
200 |  2921  |  2922  |  1736   |  2005   |  2020   |  1736   |  2005   |  2028   |
200 |  1895  |  1895  |  1108   |  1200   |  1211   |  1092   |  1188   |  1195   |
200 |  2134  |  2134  |  1290   |  1292   |  1421   |  1277   |  1387   |  1409   |
200 |  1102  |  1104  |   656   |   706   |   766   |   652   |   665   |   681   |
200 |  1293  |  1296  |   790   |   801   |   823   |   790   |   814   |   885   |
200 |  2093  |  2114  |  1991   |  2178   |  1996   |  1991   |  2237   |  2248   |
200 |  3056  |  3259  |  3007   |  3059   |  3259   |  3007   |  3119   |  3173   |
200 |  2019  |  2190  |  2011   |  2104   |  2104   |  2011   |  2104   |  2104   |
200 |  2290  |  2312  |  2133   |  2172   |  2312   |  2133   |  2172   |  2315   |
200 |  1149  |  1194  |  1127   |  1257   |  1136   |  1127   |  1256   |  1301   |
200 |  1410  |  1476  |  1393   |  1557   |  1397   |  1393   |  1571   |  1604   |
200 |  2357  |  2663  |  2335   |  2433   |  2480   |  2335   |  2459   |  2499   |
200 |  3956  |  4392  |  3953   |  4023   |  4352   |  3953   |  4023   |  4109   |
200 |  2320  |  2498  |  2297   |  2375   |  2415   |  2297   |  2393   |  2384   |
200 |  2454  |  2718  |  2442   |  2495   |  2660   |  2442   |  2486   |  2453   |
200 |  1369  |  1646  |  1358   |  1544   |  1635   |  1358   |  1556   |  1568   |
200 |  1666  |  1963  |  1637   |  1808   |  1954   |  1637   |  1840   |  1849   |
200 |  2637  |  3028  |  2610   |  2890   |  2879   |  2610   |  2893   |  2912   |
200 |  4577  |  4937  |  4522   |  4736   |  4785   |  4522   |  4741   |  4772   |
200 |  2347  |  2511  |  2344   |  2386   |  2396   |  2344   |  2414   |  2452   |
200 |  2968  |  3162  |  2884   |  2981   |  2974   |  2884   |  2980   |  3022   |
200 |  1509  |  1812  |  1493   |  1740   |  1740   |  1493   |  1736   |  1738   |
200 |  2240  |  2481  |  2225   |  2382   |  2409   |  2225   |  2411   |  2428   |
200 |  3103  |  3420  |  3103   |  3316   |  3316   |  3103   |  3316   |  3316   |
200 |  4990  |  5353  |  4990   |  5274   |  5277   |  4990   |  5274   |  5277   |
200 |  3157  |  3232  |  3157   |  3219   |  3219   |  3157   |  3219   |  3219   |
200 |  3326  |  3586  |  3326   |  3535   |  3535   |  3326   |  3535   |  3535   |
200 |  1731  |  1968  |  1731   |  1907   |  1907   |  1731   |  1911   |  1911   |
200 |  2211  |  2498  |  2200   |  2449   |  2449   |  2200   |  2449   |  2449   |
----------------------------------------------------------------------------------|
----------------------------------------------------------------------------------|
300 |  2746  |  2748  |  1431   |  1613   |  1705   |  1211   |  1589   |  1682   |
300 |  4700  |  4703  |  2502   |  2691   |  2849   |  2367   |  2690   |  2719   |
300 |  2736  |  2736  |  1468   |  1531   |  1542   |  1263   |  1461   |  1403   |
300 |  3020  |  3020  |  1614   |  1693   |  1749   |  1458   |  1566   |  1657   |
300 |  1644  |  1651  |   921   |  1121   |  1116   |   899   |  1187   |  1119   |
300 |  1913  |  1915  |  1044   |  1251   |  1318   |   980   |  1250   |  1274   |
300 |  2852  |  3130  |  2517   |  3064   |  2923   |  2643   |  3134   |  3237   |
300 |  4668  |  5064  |  4267   |  4941   |  4429   |  4409   |  4930   |  5025   |
300 |  2775  |  2898  |  2645   |  2795   |  2577   |  2683   |  2780   |  2767   |
300 |  3082  |  3261  |  2777   |  3048   |  2917   |  2825   |  3146   |  3163   |
300 |  1557  |  1735  |  1297   |  1634   |  1539   |  1206   |  1634   |  1726   |
300 |  1927  |  2244  |  1832   |  2236   |  2138   |  1853   |  2284   |  2362   |
300 |  2943  |  3468  |  3049   |  3601   |  3314   |  3051   |  3613   |  3656   |
300 |  5190  |  5785  |  5508   |  6156   |  5682   |  5510   |  6160   |  6207   |
300 |  2999  |  3154  |  2964   |  3201   |  3080   |  2995   |  3214   |  3260   |
300 |  3457  |  3641  |  3378   |  3661   |  3445   |  3448   |  3734   |  3721   |
300 |  1639  |  2007  |  1610   |  2089   |  1945   |  1627   |  2092   |  2113   |
300 |  2137  |  2529  |  2284   |  2669   |  2515   |  2311   |  2693   |  2712   |
300 |  3456  |  4027  |  3791   |  4303   |  4325   |  3811   |  4317   |  4325   |
300 |  5521  |  6134  |  6067   |  6740   |  6811   |  6098   |  6744   |  6789   |
300 |  3227  |  3448  |  3367   |  3602   |  3612   |  3425   |  3626   |  3638   |
300 |  4127  |  4278  |  4469   |  4691   |  4703   |  4532   |  4732   |  4725   |
300 |  1799  |  2237  |  2014   |  2423   |  2426   |  2026   |  2410   |  2421   |
300 |  2109  |  2625  |  2380   |  2858   |  2881   |  2391   |  2833   |  2852   |
300 |  4206  |  4757  |  4588   |  5026   |  5026   |  4588   |  5025   |  5026   |
300 |  7418  |  7827  |  7936   |  8412   |  8421   |  7936   |  8412   |  8421   |
300 |  4041  |  4237  |  4445   |  4559   |  4559   |  4445   |  4561   |  4561   |
300 |  5256  |  5586  |  5732   |  5864   |  5866   |  5732   |  5864   |  5866   |
300 |  2430  |  2788  |  2716   |  3004   |  3009   |  2706   |  3005   |  3005   |
300 |  2904  |  3250  |  3270   |  3483   |  3483   |  3270   |  3483   |  3483   |
----------------------------------------------------------------------------------|
400 |  3703  |  3711  |  1998   |  2374   |  2348   |  1803   |  2406   |  2421   |
400 |  5953  |  5954  |  3436   |  3890   |  3951   |  3161   |  3797   |  3843   |
400 |  3605  |  3607  |  1995   |  2017   |  2046   |  1805   |  1916   |  1963   |
400 |  4022  |  4023  |  2107   |  2192   |  2304   |  2034   |  2140   |  2111   |
400 |  2080  |  2091  |  1117   |  1368   |  1404   |  1003   |  1288   |  1453   |
400 |  2632  |  2636  |  1378   |  1663   |  1686   |  1133   |  1603   |  1684   |
400 |  3970  |  4489  |  3697   |  4348   |  4189   |  3754   |  4316   |  4509   |
400 |  6216  |  6672  |  5722   |  6570   |  6213   |  5856   |  6587   |  6739   |
400 |  3795  |  3953  |  3375   |  3522   |  3430   |  3390   |  3593   |  3566   |
400 |  4278  |  4566  |  3990   |  4261   |  3809   |  4015   |  4278   |  4226   |
400 |  2115  |  2415  |  1978   |  2428   |  2279   |  2003   |  2471   |  2475   |
400 |  2611  |  2918  |  2352   |  2875   |  2864   |  2366   |  2897   |  2990   |
400 |  4173  |  4734  |  4410   |  5000   |  4699   |  4449   |  5042   |  5155   |
400 |  7143  |  7801  |  7464   |  8270   |  7650   |  7533   |  8300   |  8372   |
400 |  4205  |  4313  |  4385   |  4606   |  4152   |  4445   |  4643   |  4713   |
400 |  4802  |  5182  |  5197   |  5452   |  4951   |  5180   |  5493   |  5519   |
400 |  2392  |  2927  |  2587   |  3114   |  2880   |  2614   |  3141   |  3126   |
400 |  2891  |  3509  |  3026   |  3554   |  3471   |  3048   |  3563   |  3607   |
400 |  4298  |  5073  |  4701   |  5439   |  5488   |  4710   |  5447   |  5511   |
400 |  8008  |  8705  |  8617   |  9463   |  9504   |  8597   |  9463   |  9511   |
400 |  4762  |  4994  |  5216   |  5424   |  5447   |  5176   |  5401   |  5432   |
400 |  5183  |  5216  |  5514   |  5870   |  5916   |  5536   |  5856   |  5898   |
400 |  2654  |  3261  |  2983   |  3478   |  3502   |  3000   |  3483   |  3510   |
400 |  3324  |  3971  |  3650   |  4218   |  4220   |  3650   |  4214   |  4226   |
400 |  5930  |  6606  |  6387   |  6916   |  6918   |  6387   |  6916   |  6919   |
400 |  9390  | 10395  | 10336   | 10876   | 10878   | 10338   | 10876   | 10878   |
400 |  5914  |  6223  |  6339   |  6517   |  6519   |  6339   |  6517   |  6519   |
400 |  6435  |  6892  |  6868   |  7150   |  7150   |  6868   |  7151   |  7151   |
400 |  3167  |  3683  |  3508   |  3930   |  3934   |  3508   |  3928   |  3940   |
400 |  3993  |  4553  |  4388   |  4801   |  4808   |  4388   |  4809   |  4809   |
----------------------------------------------------------------------------------|
500 |  4482  |  4485  |  2444   |  2825   |  2991   |  2352   |  2953   |  2985   |
500 |  7547  |  7571  |  4111   |  4771   |  4838   |  3744   |  4225   |  4791   |
500 |  4376  |  4379  |  2418   |  2500   |  2473   |  2291   |  2413   |  2526   |
500 |  5146  |  5147  |  2747   |  3003   |  3099   |  2571   |  2866   |  2918   |
500 |  2669  |  2684  |  1453   |  1837   |  1927   |  1377   |  1787   |  1826   |
500 |  3266  |  3286  |  1827   |  2193   |  2246   |  1708   |  2090   |  2150   |
500 |  4558  |  5112  |  4225   |  4951   |  4878   |  4245   |  5048   |  5108   |
500 |  8099  |  8652  |  7170   |  7864   |  7791   |  7163   |  7921   |  8198   |
500 |  4851  |  4911  |  4528   |  4714   |  4292   |  4546   |  4797   |  4712   |
500 |  5509  |  5676  |  5221   |  5645   |  5154   |  5157   |  5684   |  5531   |
500 |  2702  |  3119  |  2549   |  3138   |  3016   |  2551   |  3148   |  3255   |
500 |  3433  |  3961  |  3125   |  3799   |  3837   |  3136   |  3883   |  3949   |
500 |  5309  |  6046  |  5340   |  6167   |  5866   |  5374   |  6279   |  6418   |
500 |  8725  |  9534  |  9176   | 10228   |  9349   |  9138   | 10233   | 10301   |
500 |  4846  |  5210  |  4965   |  5269   |  4859   |  5008   |  5306   |  5363   |
500 |  5862  |  6237  |  6121   |  6489   |  5719   |  6123   |  6499   |  6576   |
500 |  2968  |  3634  |  3155   |  3723   |  3615   |  3166   |  3724   |  3737   |
500 |  3766  |  4470  |  3910   |  4620   |  4397   |  3926   |  4682   |  4676   |
500 |  5693  |  6735  |  6203   |  7058   |  7118   |  6239   |  7126   |  7109   |
500 |  9694  | 10681  | 10619   | 11586   | 11623   | 10675   | 11566   | 11610   |
500 |  5386  |  5840  |  6087   |  6397   |  6421   |  6120   |  6433   |  6423   |
500 |  6718  |  7302  |  7300   |  7780   |  7817   |  7299   |  7763   |  7825   |
500 |  3192  |  3955  |  3505   |  4096   |  4093   |  3527   |  4088   |  4099   |
500 |  4064  |  4924  |  4425   |  5269   |  5294   |  4446   |  5265   |  5295   |
500 |  7725  |  8440  |  8171   |  8848   |  8849   |  8171   |  8848   |  8850   |
500 | 12794  | 13788  | 13619   | 14276   | 14276   | 13619   | 14302   | 14276   |
500 |  7067  |  7266  |  7486   |  7676   |  7681   |  7486   |  7676   |  7681   |
500 |  7774  |  8255  |  8473   |  8821   |  8827   |  8473   |  8821   |  8827   |
500 |  3936  |  4578  |  4288   |  4772   |  4772   |  4288   |  4778   |  4778   |
500 |  5492  |  6252  |  5868   |  6422   |  6421   |  5888   |  6422   |  6421   |
----------------------------------------------------------------------------------|
